property_id,snapshot_month,property_age_years,size_sqft,bedrooms_bhk,amenity_count,historical_maintenance_count,maintenance_count_last_90d,historical_maintenance_cost,historical_avg_cost,days_since_last_maintenance,dominant_issue_category,next_month_maintenance_count,next_month_maintenance_cost,maintenance_risk_label,inspection_count,needs_attention_count,equipment_count,avg_equipment_age_years,critical_equipment_count
P00001,2024-01,3,700,2,3,0,0,0,0,84,AC,0,0,0,1,0,3,4.9,2
P00001,2024-02,3,700,2,3,0,0,0,0,151,STRUCTURAL,0,0,0,1,1,3,4.9,2
P00001,2024-03,3,700,2,3,0,0,0,0,78,OTHER,0,0,0,0,0,3,4.9,2
P00001,2024-04,3,700,2,3,0,0,0,0,94,APPLIANCE,0,0,0,1,0,3,4.9,2
P00001,2024-05,3,700,2,3,0,0,0,0,72,APPLIANCE,0,0,0,2,0,3,4.9,2
P00001,2024-06,3,700,2,3,0,0,0,0,56,AC,1,1580.96,1,1,0,3,4.9,2
P00001,2024-07,3,700,2,3,0,0,0,0,0,AC,0,0,0,2,0,3,4.9,2
P00001,2024-08,3,700,2,3,1,1,1580.96,1580.96,31,CLEANING,1,1750.75,1,3,1,3,4.9,2
P00001,2024-09,3,700,2,3,1,1,1580.96,1580.96,0,APPLIANCE,0,0,0,2,0,3,4.9,2
P00001,2024-10,3,700,2,3,2,1,3331.71,1665.86,30,AC,0,0,0,3,1,3,4.9,2
P00001,2024-11,3,700,2,3,2,1,3331.71,1665.86,61,AC,0,0,0,2,0,3,4.9,2
P00001,2024-12,3,700,2,3,2,0,3331.71,1665.86,91,APPLIANCE,0,0,0,1,0,3,4.9,2
P00001,2025-01,3,700,2,3,2,0,3331.71,1665.86,122,STRUCTURAL,0,0,0,3,2,3,4.9,2
P00001,2025-02,3,700,2,3,2,0,3331.71,1665.86,153,STRUCTURAL,0,0,0,0,0,3,4.9,2
P00001,2025-03,3,700,2,3,2,0,3331.71,1665.86,181,STRUCTURAL,0,0,0,1,0,3,4.9,2
P00001,2025-04,3,700,2,3,2,0,3331.71,1665.86,212,OTHER,0,0,0,1,0,3,4.9,2
P00001,2025-05,3,700,2,3,2,0,3331.71,1665.86,242,APPLIANCE,0,0,0,0,0,3,4.9,2
P00001,2025-06,3,700,2,3,2,0,3331.71,1665.86,273,ELECTRICAL,0,0,0,1,1,3,4.9,2
P00001,2025-07,3,700,2,3,2,0,3331.71,1665.86,303,CLEANING,0,0,0,0,1,3,4.9,2
P00001,2025-08,3,700,2,3,2,0,3331.71,1665.86,334,ELECTRICAL,0,0,0,1,1,3,4.9,2
P00001,2025-09,3,700,2,3,2,0,3331.71,1665.86,365,AC,0,0,0,1,0,3,4.9,2
P00001,2025-10,3,700,2,3,2,0,3331.71,1665.86,395,AC,0,0,0,0,0,3,4.9,2
P00001,2025-11,3,700,2,3,2,0,3331.71,1665.86,426,APPLIANCE,0,0,0,3,1,3,4.9,2
P00001,2025-12,3,700,2,3,2,0,3331.71,1665.86,456,STRUCTURAL,0,0,0,2,0,3,4.9,2
P00001,2026-01,3,700,2,3,2,0,3331.71,1665.86,487,AC,0,0,0,0,1,3,4.9,2
P00001,2026-02,3,700,2,3,2,0,3331.71,1665.86,518,STRUCTURAL,0,0,0,5,0,3,4.9,2
P00001,2026-03,3,700,2,3,2,0,3331.71,1665.86,546,APPLIANCE,0,0,0,0,0,3,4.9,2
P00001,2026-04,3,700,2,3,2,0,3331.71,1665.86,577,AC,0,0,0,0,0,3,4.9,2
P00001,2026-05,3,700,2,3,2,0,3331.71,1665.86,607,STRUCTURAL,0,0,0,1,0,3,4.9,2
P00001,2026-06,3,700,2,3,2,0,3331.71,1665.86,638,APPLIANCE,0,0,0,0,0,3,4.9,2
P00001,2026-07,3,700,2,3,2,0,3331.71,1665.86,668,OTHER,0,0,0,0,0,3,4.9,2
P00001,2026-08,3,700,2,3,2,0,3331.71,1665.86,699,STRUCTURAL,0,0,0,3,0,3,4.9,2
P00001,2026-09,3,700,2,3,2,0,3331.71,1665.86,730,AC,0,0,0,3,1,3,4.9,2
P00001,2026-10,3,700,2,3,2,0,3331.71,1665.86,760,APPLIANCE,0,0,0,0,0,3,4.9,2
P00001,2026-11,3,700,2,3,2,0,3331.71,1665.86,791,AC,0,0,0,3,0,3,4.9,2
P00001,2026-12,3,700,2,3,2,0,3331.71,1665.86,821,OTHER,0,0,0,0,0,3,4.9,2
P00002,2024-01,24,1350,3,2,0,0,0,0,70,AC,0,0,0,0,1,6,6,2
P00002,2024-02,24,1350,3,2,0,0,0,0,69,AC,1,4526.89,1,0,0,6,6,2
P00002,2024-03,24,1350,3,2,0,0,0,0,0,OTHER,1,10182.29,1,1,0,6,6,2
P00002,2024-04,24,1350,3,2,1,1,4526.89,4526.89,0,AC,1,3230.22,1,2,0,6,6,2
P00002,2024-05,24,1350,3,2,2,2,14709.18,7354.59,0,PLUMBING,0,0,0,2,1,6,6,2
P00002,2024-06,24,1350,3,2,3,2,17939.4,5979.8,31,APPLIANCE,1,3107.26,1,2,0,6,6,2
P00002,2024-07,24,1350,3,2,3,1,17939.4,5979.8,0,APPLIANCE,1,2475.58,1,1,0,6,6,2
P00002,2024-08,24,1350,3,2,4,1,21046.66,5261.66,0,OTHER,1,6290.76,1,2,2,6,6,2
P00002,2024-09,24,1350,3,2,5,2,23522.24,4704.45,0,AC,0,0,0,4,2,6,6,2
P00002,2024-10,24,1350,3,2,6,2,29813,4968.83,30,CLEANING,0,0,0,1,0,6,6,2
P00002,2024-11,24,1350,3,2,6,1,29813,4968.83,61,OTHER,1,2121.87,1,3,1,6,6,2
P00002,2024-12,24,1350,3,2,6,0,29813,4968.83,0,APPLIANCE,0,0,0,1,0,6,6,2
P00002,2025-01,24,1350,3,2,7,1,31934.87,4562.12,31,AC,1,4139.21,1,5,0,6,6,2
P00002,2025-02,24,1350,3,2,7,1,31934.87,4562.12,0,AC,1,1782.42,1,3,0,6,6,2
P00002,2025-03,24,1350,3,2,8,2,36074.08,4509.26,0,PLUMBING,0,0,0,5,1,6,6,2
P00002,2025-04,24,1350,3,2,9,2,37856.5,4206.28,31,APPLIANCE,1,1395.56,1,2,0,6,6,2
P00002,2025-05,24,1350,3,2,9,2,37856.5,4206.28,0,OTHER,1,2941.06,1,2,0,6,6,2
P00002,2025-06,24,1350,3,2,10,1,39252.06,3925.21,0,APPLIANCE,1,3643.12,1,2,2,6,6,2
P00002,2025-07,24,1350,3,2,11,2,42193.12,3835.74,0,AC,0,0,0,1,1,6,6,2
P00002,2025-08,24,1350,3,2,12,2,45836.24,3819.69,31,AC,0,0,0,0,0,6,6,2
P00002,2025-09,24,1350,3,2,12,1,45836.24,3819.69,62,OTHER,0,0,0,2,1,6,6,2
P00002,2025-10,24,1350,3,2,12,0,45836.24,3819.69,92,AC,0,0,0,1,0,6,6,2
P00002,2025-11,24,1350,3,2,12,0,45836.24,3819.69,123,AC,0,0,0,2,1,6,6,2
P00002,2025-12,24,1350,3,2,12,0,45836.24,3819.69,153,AC,0,0,0,2,0,6,6,2
P00002,2026-01,24,1350,3,2,12,0,45836.24,3819.69,184,PLUMBING,0,0,0,1,0,6,6,2
P00002,2026-02,24,1350,3,2,12,0,45836.24,3819.69,215,AC,0,0,0,2,1,6,6,2
P00002,2026-03,24,1350,3,2,12,0,45836.24,3819.69,243,AC,2,7742.68,1,2,0,6,6,2
P00002,2026-04,24,1350,3,2,12,0,45836.24,3819.69,0,AC,2,9377.72,1,3,0,6,6,2
P00002,2026-05,24,1350,3,2,14,2,53578.92,3827.07,0,APPLIANCE,1,4632.26,1,2,1,6,6,2
P00002,2026-06,24,1350,3,2,16,4,62956.64,3934.79,0,OTHER,1,2020.9,1,3,1,6,6,2
P00002,2026-07,24,1350,3,2,17,3,67588.9,3975.82,0,OTHER,1,2497.8,1,3,0,6,6,2
P00002,2026-08,24,1350,3,2,18,2,69609.8,3867.21,0,OTHER,1,1459.63,1,2,1,6,6,2
P00002,2026-09,24,1350,3,2,19,2,72107.6,3795.14,0,APPLIANCE,0,0,0,4,1,6,6,2
P00002,2026-10,24,1350,3,2,20,2,73567.23,3678.36,30,APPLIANCE,1,5973.5,1,0,0,6,6,2
P00002,2026-11,24,1350,3,2,20,1,73567.23,3678.36,0,AC,0,0,0,3,1,6,6,2
P00002,2026-12,24,1350,3,2,21,1,79540.73,3787.65,30,OTHER,1,2252.1,1,2,0,6,6,2
P00003,2024-01,17,1150,3,4,0,0,0,0,169,ELECTRICAL,0,0,0,3,1,2,4.6,1
P00003,2024-02,17,1150,3,4,0,0,0,0,155,PLUMBING,0,0,0,2,0,2,4.6,1
P00003,2024-03,17,1150,3,4,0,0,0,0,21,APPLIANCE,0,0,0,1,1,2,4.6,1
P00003,2024-04,17,1150,3,4,0,0,0,0,74,OTHER,0,0,0,0,0,2,4.6,1
P00003,2024-05,17,1150,3,4,0,0,0,0,148,AC,0,0,0,5,1,2,4.6,1
P00003,2024-06,17,1150,3,4,0,0,0,0,119,OTHER,0,0,0,4,1,2,4.6,1
P00003,2024-07,17,1150,3,4,0,0,0,0,67,AC,0,0,0,3,2,2,4.6,1
P00003,2024-08,17,1150,3,4,0,0,0,0,26,AC,0,0,0,4,0,2,4.6,1
P00003,2024-09,17,1150,3,4,0,0,0,0,142,ELECTRICAL,1,1747.87,1,4,0,2,4.6,1
P00003,2024-10,17,1150,3,4,0,0,0,0,0,PLUMBING,0,0,0,0,0,2,4.6,1
P00003,2024-11,17,1150,3,4,1,1,1747.87,1747.87,31,AC,0,0,0,3,1,2,4.6,1
P00003,2024-12,17,1150,3,4,1,1,1747.87,1747.87,61,OTHER,0,0,0,1,0,2,4.6,1
P00003,2025-01,17,1150,3,4,1,0,1747.87,1747.87,92,ELECTRICAL,0,0,0,1,0,2,4.6,1
P00003,2025-02,17,1150,3,4,1,0,1747.87,1747.87,123,AC,1,2501.96,1,2,0,2,4.6,1
P00003,2025-03,17,1150,3,4,1,0,1747.87,1747.87,0,OTHER,0,0,0,1,1,2,4.6,1
P00003,2025-04,17,1150,3,4,2,1,4249.83,2124.91,31,ELECTRICAL,0,0,0,2,1,2,4.6,1
P00003,2025-05,17,1150,3,4,2,1,4249.83,2124.91,61,AC,0,0,0,2,0,2,4.6,1
P00003,2025-06,17,1150,3,4,2,0,4249.83,2124.91,92,OTHER,0,0,0,3,2,2,4.6,1
P00003,2025-07,17,1150,3,4,2,0,4249.83,2124.91,122,STRUCTURAL,0,0,0,1,0,2,4.6,1
P00003,2025-08,17,1150,3,4,2,0,4249.83,2124.91,153,AC,0,0,0,0,1,2,4.6,1
P00003,2025-09,17,1150,3,4,2,0,4249.83,2124.91,184,ELECTRICAL,1,2251.55,1,0,0,2,4.6,1
P00003,2025-10,17,1150,3,4,2,0,4249.83,2124.91,0,AC,0,0,0,0,0,2,4.6,1
P00003,2025-11,17,1150,3,4,3,1,6501.38,2167.13,31,PLUMBING,0,0,0,1,0,2,4.6,1
P00003,2025-12,17,1150,3,4,3,1,6501.38,2167.13,61,PLUMBING,0,0,0,2,1,2,4.6,1
P00003,2026-01,17,1150,3,4,3,0,6501.38,2167.13,92,AC,0,0,0,1,0,2,4.6,1
P00003,2026-02,17,1150,3,4,3,0,6501.38,2167.13,123,OTHER,1,2618,1,0,0,2,4.6,1
P00003,2026-03,17,1150,3,4,3,0,6501.38,2167.13,0,AC,0,0,0,0,0,2,4.6,1
P00003,2026-04,17,1150,3,4,4,1,9119.38,2279.85,31,AC,0,0,0,2,1,2,4.6,1
P00003,2026-05,17,1150,3,4,4,1,9119.38,2279.85,61,PLUMBING,0,0,0,2,0,2,4.6,1
P00003,2026-06,17,1150,3,4,4,0,9119.38,2279.85,92,ELECTRICAL,0,0,0,3,1,2,4.6,1
P00003,2026-07,17,1150,3,4,4,0,9119.38,2279.85,122,AC,1,4923.72,1,1,0,2,4.6,1
P00003,2026-08,17,1150,3,4,4,0,9119.38,2279.85,0,AC,0,0,0,3,0,2,4.6,1
P00003,2026-09,17,1150,3,4,5,1,14043.1,2808.62,31,STRUCTURAL,1,2356.42,1,2,0,2,4.6,1
P00003,2026-10,17,1150,3,4,5,1,14043.1,2808.62,0,ELECTRICAL,0,0,0,2,0,2,4.6,1
