snapshot_month,total_records,high_risk_count,risk_rate,risk_rate_percentage
2024-01-01,8,3,0.375,37.5
2024-02-01,75,29,0.38666666666666666,38.666666666666664
2024-03-01,174,81,0.46551724137931033,46.55172413793103
2024-04-01,321,132,0.411214953271028,41.1214953271028
2024-05-01,446,190,0.4260089686098655,42.600896860986545
2024-06-01,579,235,0.4058721934369603,40.58721934369603
2024-07-01,700,303,0.4328571428571429,43.28571428571429
2024-08-01,809,305,0.377008652657602,37.7008652657602
2024-09-01,930,397,0.4268817204301075,42.68817204301075
2024-10-01,1003,385,0.38384845463609174,38.384845463609174
2024-11-01,1117,466,0.41718889883616833,41.71888988361683
2024-12-01,1206,499,0.41376451077943616,41.376451077943614
2025-01-01,1312,535,0.40777439024390244,40.77743902439025
2025-02-01,1357,536,0.3949889462048637,39.49889462048637
2025-03-01,1369,543,0.3966398831263696,39.66398831263696
2025-04-01,1415,573,0.4049469964664311,40.49469964664311
2025-05-01,1435,596,0.41533101045296167,41.53310104529616
2025-06-01,1422,588,0.41350210970464135,41.35021097046413
2025-07-01,1457,606,0.41592312971859985,41.59231297185998
2025-08-01,1484,601,0.4049865229110512,40.49865229110512
2025-09-01,1514,607,0.4009247027741083,40.09247027741083
2025-10-01,1543,647,0.41931302657161373,41.931302657161375
2025-11-01,1539,583,0.3788174139051332,37.88174139051332
2025-12-01,1556,605,0.38881748071979433,38.88174807197943
