feature,risk_0_mean,risk_1_mean,difference
monthly_income,136227.42052818192,134813.27311457577,-1414.1474136061443
historical_invoice_count,12.64916248930187,12.698785351704133,0.04962286240226277
late_payment_count,6.4811101601662795,6.505710659898477,0.024600499732197356
missed_payment_count,2.7151852304682724,2.765591007976795,0.05040577750852249
avg_days_late,6.7512776101969,6.774861098172896,0.023583487975995965
max_days_late,18.078371439051228,18.076776649746193,-0.0015947893050345385
historical_outstanding,97311.8474141093,93091.91443074693,-4219.932983362378
rent_to_income_ratio,0.5662711525941123,0.5517398712031635,-0.014531281390948836
payment_completion_ratio,0.7808508341695132,0.7737829446416845,-0.0070678895278286635
late_payment_count_delta,0.8508375106981294,0.8387418419144308,-0.01209566878369861
missed_payment_count_delta,0.3842156742878102,0.38932197244379985,0.005106298155989619
recent_late_payment_count_3m,2.3433182540652893,2.308738216098622,-0.0345800379666672
recent_missed_payment_count_3m,1.0576476341851082,1.0795866569978245,0.021939022812716313
recent_avg_days_late_3m,6.519674956224755,6.532979226748585,0.013304270523830652
recent_payment_completion_ratio_3m,0.7785835915219376,0.7708929397035462,-0.0076906518183913475
recent_late_payment_count_6m,4.066022741166401,4.035532994923858,-0.030489746242543525
recent_missed_payment_count_6m,1.8498593960141827,1.8825235678027556,0.03266417178857295
recent_avg_days_late_6m,6.312489849487649,6.3207012973606345,0.008211447872985111
recent_payment_completion_ratio_6m,0.7761277006903387,0.7689398662933304,-0.007187834397008208
late_payment_trend,0.7496026409096467,0.7392131979695431,-0.010389442940103577
missed_payment_trend,0.2961853527326079,0.2996736765772299,0.003488323844621999
payment_completion_trend,0.002391072562229895,0.003482349773326369,0.001091277211096474
